,r,minPoints,N_clusters,Noise_elements,frac_noise
362,0.925,3,1,0,0.0
363,0.925,4,1,0,0.0
364,0.925,5,1,0,0.0
365,0.925,6,1,0,0.0
366,0.925,7,1,0,0.0
367,0.925,8,1,0,0.0
368,0.925,9,1,0,0.0
369,0.925,10,1,0,0.0
370,0.9500000000000001,1,1,0,0.0
371,0.9500000000000001,2,1,0,0.0
372,0.9500000000000001,3,1,0,0.0
373,0.9500000000000001,4,1,0,0.0
374,0.9500000000000001,5,1,0,0.0
375,0.9500000000000001,6,1,0,0.0
376,0.9500000000000001,7,1,0,0.0
377,0.9500000000000001,8,1,0,0.0
378,0.9500000000000001,9,1,0,0.0
379,0.9500000000000001,10,1,0,0.0
380,0.9750000000000001,1,1,0,0.0
381,0.9750000000000001,2,1,0,0.0
382,0.9750000000000001,3,1,0,0.0
383,0.9750000000000001,4,1,0,0.0
384,0.9750000000000001,5,1,0,0.0
385,0.9750000000000001,6,1,0,0.0
386,0.9750000000000001,7,1,0,0.0
387,0.9750000000000001,8,1,0,0.0
388,0.9750000000000001,9,1,0,0.0
389,0.9750000000000001,10,1,0,0.0
